org_cst_key,org_name,org_ogt_code,org_state_incorporated,n53_municipal_type,org_metropolitan_area_ext,org_fips_place_ext,org_prefix_ext,org_city_name_ext,org_fips_county_subdivision_ext
9bf3aefc-462f-4c62-903e-12d899dfff3a,City of Homer,City,AK,City,NULL,0233140,City of,Homer,NULL
79eaba01-05c9-47ad-be9a-12db8a3715e6,City of Dayton,City,OH,City,NULL,3921000,City of,Dayton,NULL
8adc4286-d164-4882-83f4-12e14987f086,Ohio Economic Development Institute,Private Sector Company,NULL,NULL,NULL,NULL,NULL,NULL,NULL
58a1e52b-f15a-4c0c-8ae0-12e1b8285ce7,Town of Waterford,City,VT,Town,NULL,5000577125,Town of,Waterford,NULL
9e8b47c8-f6f9-49f1-9fba-12e21168479c,City of St. Joseph,City,MO,City,NULL,2964550,City of,St. Joseph,NULL
66ab0351-8f2d-4274-9494-12e52421478e,Georgia State University,College/University,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5ef9388c-b0d2-4ed2-8858-12e9242f1e3e,Judy Reid,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
eea862ec-6716-47d5-a31c-12eacc89391e,Village of Midland,City,OH,Village,NULL,3949896,Village of,Midland,NULL
aa52316d-d8f1-45bf-a52c-12eb0ad1affb,Town of Rexford,City,MT,Town,NULL,3062200,Town of,Rexford,NULL
9f751f39-2b84-4b12-b505-12f000a22ee8,"Simeon Resource and Development Center for Men, Inc",Private Sector Company,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c27e9229-df24-4134-872c-12f0282ec70e,City of Alliance,City,NE,City,NULL,3100905,City of,Alliance,NULL
2c4837cb-1afc-4215-8d29-12f2c2e32ef1,City of San Saba,City,TX,City,NULL,4865648,City of,San Saba,NULL
6552be1b-94a9-4966-9584-12f52ac74626,Greater Milwaukee Foundation,"Civic Group/Non-profit ",NULL,NULL,NULL,NULL,NULL,NULL,NULL
83b46a15-4eaa-4a62-91f2-12f5356e1c6f,Town of Duxbury,City,MA,Town,NULL,2502317895,Town of,Duxbury,NULL
